"","poisonous","capShape","capSurface","capColor","bruisesTrueFalse","odor","gillAttachment","gillSpacing","gillSize","gillColor","stalkShape","stalkRoot","stalkSurfaceAboveRing","stalkSurfaceBelowRing","stalkColorAboveRing","stalkColorBelowRing","veilType","veilColor","ringNumber","ringType","sporePrintColor","population","habitat"
"1",1,"convex","smooth","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban"
"2",0,"convex","smooth","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"3",0,"bell","smooth","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"4",1,"convex","scaly","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban"
"5",0,"convex","smooth","gray",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"6",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"7",0,"bell","smooth","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"8",0,"bell","scaly","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"9",1,"convex","scaly","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses"
"10",0,"bell","smooth","yellow",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"11",0,"convex","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"12",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"13",0,"bell","smooth","yellow",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"14",1,"convex","scaly","white",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"15",0,"convex","fibrous","brown",0,"none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"16",0,"sunken","fibrous","gray",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"17",0,"flat","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"18",1,"convex","smooth","brown",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"19",1,"convex","scaly","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban"
"20",1,"convex","smooth","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban"
"21",0,"bell","smooth","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"22",1,"convex","scaly","brown",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"23",0,"bell","scaly","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"24",0,"bell","scaly","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"25",0,"bell","smooth","white",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"26",1,"flat","smooth","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"27",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"28",0,"convex","scaly","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"29",0,"flat","fibrous","brown",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban"
"30",0,"convex","smooth","yellow",1,"almond","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"31",0,"bell","smooth","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"32",1,"convex","scaly","white",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban"
"33",0,"convex","scaly","yellow",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"34",0,"convex","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths"
"35",0,"bell","scaly","yellow",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"36",0,"convex","fibrous","yellow",1,"anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"37",0,"sunken","fibrous","gray",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"38",1,"convex","scaly","brown",1,"pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","urban"
"39",0,"convex","fibrous","yellow",1,"almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"40",0,"bell","smooth","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"41",0,"bell","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"42",0,"convex","scaly","yellow",1,"anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"43",0,"convex","fibrous","brown",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban"
"44",1,"convex","scaly","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"45",0,"convex","smooth","yellow",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"46",0,"convex","scaly","white",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"47",0,"convex","scaly","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"48",0,"convex","smooth","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"49",0,"convex","scaly","yellow",1,"anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","paths"
"50",0,"flat","scaly","yellow",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths"
"51",0,"convex","scaly","brown",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses"
"52",0,"convex","smooth","white",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"53",0,"bell","smooth","white",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"54",1,"convex","scaly","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"55",1,"convex","smooth","white",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"56",0,"bell","scaly","yellow",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"57",0,"flat","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"58",0,"bell","smooth","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"59",0,"convex","smooth","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"60",0,"convex","scaly","brown",1,"almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"61",0,"sunken","fibrous","gray",0,"none","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"62",0,"bell","scaly","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"63",0,"bell","smooth","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"64",0,"bell","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"65",0,"bell","scaly","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"66",0,"flat","smooth","brown",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"67",0,"convex","smooth","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"68",0,"flat","scaly","yellow",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"69",0,"convex","scaly","yellow",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"70",0,"convex","fibrous","gray",0,"none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"71",0,"flat","fibrous","yellow",1,"anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"72",0,"bell","scaly","white",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"73",0,"flat","fibrous","yellow",1,"anise","free","crowded","narrow","white","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"74",0,"convex","scaly","brown",1,"almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths"
"75",0,"bell","smooth","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"76",0,"flat","smooth","yellow",1,"anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"77",0,"convex","smooth","white",1,"anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"78",0,"flat","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","paths"
"79",1,"convex","scaly","brown",1,"pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"80",0,"flat","scaly","brown",1,"almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses"
"81",0,"convex","smooth","brown",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"82",1,"convex","scaly","white",1,"pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"83",0,"flat","fibrous","gray",0,"none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"84",0,"convex","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"85",0,"convex","scaly","yellow",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses"
"86",0,"convex","smooth","brown",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"87",0,"bell","smooth","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"88",0,"convex","smooth","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"89",0,"flat","scaly","brown",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses"
"90",0,"sunken","fibrous","brown",0,"none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"91",0,"convex","fibrous","brown",0,"none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"92",0,"bell","smooth","white",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"93",0,"convex","scaly","yellow",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"94",0,"convex","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"95",0,"convex","smooth","brown",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"96",0,"convex","smooth","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"97",0,"flat","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"98",0,"convex","smooth","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"99",0,"bell","smooth","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"100",0,"convex","scaly","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"101",0,"convex","fibrous","brown",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"102",0,"bell","smooth","yellow",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"103",0,"flat","scaly","yellow",1,"anise","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"104",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"105",0,"bell","scaly","white",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"106",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"107",0,"convex","scaly","yellow",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","solitary","grasses"
"108",0,"bell","scaly","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"109",0,"bell","scaly","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
